image_number,label
678843,v
480754,v
411357,v
765313,v
477095,v
643409,v
820260,v
996161,v
553663,v
725948,v
952415,v
627438,v
406332,v
127016,v
200244,v
728913,v
480721,v
821106,v
786237,v
571650,v
522244,v
830460,v
125885,v
126161,v
943026,v
937583,v
388822,v
482615,v
151563,v
134055,v
433816,v
288316,v
569936,v
977965,v
782239,v
283707,v
164053,v
615115,v
516998,v
176037,v
277707,v
526257,v
642804,v
631810,v
121999,v
298185,v
12323,v
350877,v
698045,v
222317,v
97359,v
135870,v
323064,v
833289,v
144129,v
440917,v
194718,v
93808,v
311877,v
727067,v
531111,v
590082,v
742849,v
579365,v
703814,v
72692,v
291077,v
676746,v
407592,v
716409,v
530032,v
374313,v
394423,v
866450,v
338113,v
951828,v
184456,v
773422,v
790645,v
570895,v
380596,v
748778,v
414758,v
398172,v
173423,v
157636,v
65942,v
655348,v
141880,v
556376,v
60272,v
889855,v
143927,v
2187,v
539243,v
404015,v
516479,v
452413,v
207352,v
985418,v
637999,v
274336,v
308974,v
247908,v
590270,v
619696,v
232204,v
502175,v
352103,v
602251,v
413532,v
774639,v
861858,v
281373,v
871158,v
178296,v
907021,v
88302,v
428638,v
908017,v
131004,v
647952,v
738924,v
886643,v
615197,v
97799,v
401013,v
126202,v
751616,v
462092,v
651084,v
440420,v
83791,v
634044,v
419007,v
310809,v
932063,v
114010,v
416704,v
466995,v
645972,v
712593,v
928864,v
984404,v
431978,v
15116,v
89242,v
648033,v
694089,v
765820,v
595983,v
226905,v
630759,v
601648,v
80691,v
759161,v
547026,v
582943,v
923882,v
532465,v
13731,v
969246,v
540282,v
391770,v
30461,v
758171,v
871901,v
741067,v
394798,v
544392,v
809195,v
960002,v
178130,v
866453,v
343130,v
984080,v
99122,v
880624,v
254793,v
829151,v
839446,v
183024,v
813171,v
645499,v
619265,v
827543,v
35010,v
333964,v
611709,v
187063,v
984766,v
45591,v
568933,v
865718,v
650558,v
850187,v
925337,v
517257,v
217984,v
789694,v
35169,v
293128,v
868173,v
665442,v
879725,v
478096,v
32583,v
928665,v
946301,v
2431,v
309878,v
651127,v
313673,v
358243,v
894829,v
257351,v
523869,v
282745,v
175183,v
117827,v
888752,v
966551,v
25825,v
84821,v
103088,v
447185,v
356440,v
515882,v
938972,v
939077,v
281833,v
37180,v
604008,v
489572,v
898886,v
529049,v
450472,v
748371,v
720509,v
196681,v
865796,v
496195,v
817417,v
515518,v
87695,v
734459,v
621839,v
137046,v
888015,v
88919,v
591309,v
586373,v
466196,v
851856,v
352475,v
538785,v
33717,v
177696,v
502610,v
910175,v
339974,v
392653,v
670979,v
401392,v
625494,v
61836,v
80636,v
179559,v
583318,v
264603,v
69837,v
