,image_number,label,label_d,label_d2,label_h,label_v
0,439540,h,False,False,True,False
1,318736,h,False,False,True,False
2,134536,d,True,False,False,False
3,705028,h,False,False,True,False
4,976116,h,False,False,True,False
5,881512,d2,False,True,False,False
6,683139,d,True,False,False,False
7,935701,h,False,False,True,False
8,229684,d2,False,True,False,False
9,500127,d,True,False,False,False
10,985357,d2,False,True,False,False
11,603415,h,False,False,True,False
12,54546,h,False,False,True,False
13,57424,d,True,False,False,False
14,472503,d2,False,True,False,False
15,502175,v,False,False,False,True
16,705113,h,False,False,True,False
17,994962,d2,False,True,False,False
18,469814,d,True,False,False,False
19,689211,d2,False,True,False,False
20,670979,v,False,False,False,True
21,204901,v,False,False,False,True
22,576634,v,False,False,False,True
23,283707,v,False,False,False,True
24,657585,d2,False,True,False,False
25,702671,d,True,False,False,False
26,256538,d,True,False,False,False
27,181733,v,False,False,False,True
28,760976,d,True,False,False,False
29,424042,d,True,False,False,False
30,548848,d2,False,True,False,False
31,985502,v,False,False,False,True
32,304236,h,False,False,True,False
33,409320,v,False,False,False,True
34,209082,v,False,False,False,True
35,894490,h,False,False,True,False
36,896420,d2,False,True,False,False
37,785271,h,False,False,True,False
38,246807,h,False,False,True,False
39,15750,d,True,False,False,False
40,925438,d,True,False,False,False
41,331116,d2,False,True,False,False
42,345473,d,True,False,False,False
43,187070,v,False,False,False,True
44,209982,v,False,False,False,True
45,276683,d2,False,True,False,False
46,957653,h,False,False,True,False
47,205180,h,False,False,True,False
48,835590,v,False,False,False,True
49,917422,v,False,False,False,True
50,129336,d,True,False,False,False
51,647952,v,False,False,False,True
52,547104,d,True,False,False,False
53,87088,h,False,False,True,False
54,979965,v,False,False,False,True
55,509351,d,True,False,False,False
56,96174,h,False,False,True,False
57,60555,d2,False,True,False,False
58,339984,d2,False,True,False,False
59,363276,h,False,False,True,False
60,116865,v,False,False,False,True
61,303301,h,False,False,True,False
62,757695,d,True,False,False,False
63,614356,d2,False,True,False,False
64,551896,v,False,False,False,True
65,171297,h,False,False,True,False
66,826902,d2,False,True,False,False
67,712010,v,False,False,False,True
68,779059,h,False,False,True,False
69,977965,v,False,False,False,True
70,613583,d2,False,True,False,False
71,715209,h,False,False,True,False
72,621409,h,False,False,True,False
73,466438,h,False,False,True,False
74,983452,d,True,False,False,False
75,452413,v,False,False,False,True
76,498780,h,False,False,True,False
77,293497,d2,False,True,False,False
78,76307,d2,False,True,False,False
79,19039,d2,False,True,False,False
80,196583,h,False,False,True,False
81,608408,d,True,False,False,False
82,288316,v,False,False,False,True
83,365345,h,False,False,True,False
84,539457,v,False,False,False,True
85,981604,d,True,False,False,False
86,810809,h,False,False,True,False
87,354107,h,False,False,True,False
88,686724,d2,False,True,False,False
89,116842,h,False,False,True,False
90,62338,d,True,False,False,False
91,195236,d,True,False,False,False
92,818691,h,False,False,True,False
93,249948,v,False,False,False,True
94,161729,d2,False,True,False,False
95,683165,d,True,False,False,False
96,708276,d2,False,True,False,False
97,678234,h,False,False,True,False
98,841896,v,False,False,False,True
99,406742,v,False,False,False,True
100,352475,v,False,False,False,True
101,176037,v,False,False,False,True
102,406339,v,False,False,False,True
103,456213,d,True,False,False,False
104,912995,d,True,False,False,False
105,75687,d,True,False,False,False
106,981608,d,True,False,False,False
107,443724,h,False,False,True,False
108,512057,h,False,False,True,False
109,627582,d,True,False,False,False
110,36170,d,True,False,False,False
111,788540,d,True,False,False,False
112,900016,v,False,False,False,True
113,289739,h,False,False,True,False
114,21992,v,False,False,False,True
115,539692,d,True,False,False,False
116,709789,d2,False,True,False,False
117,919106,v,False,False,False,True
118,778259,d2,False,True,False,False
119,345161,v,False,False,False,True
120,835258,v,False,False,False,True
121,134055,v,False,False,False,True
122,948996,v,False,False,False,True
123,869543,h,False,False,True,False
124,212085,h,False,False,True,False
125,491567,v,False,False,False,True
126,478536,d,True,False,False,False
127,136139,d,True,False,False,False
128,101075,v,False,False,False,True
129,576802,d,True,False,False,False
130,315919,h,False,False,True,False
131,157076,d,True,False,False,False
132,603906,d2,False,True,False,False
133,348355,h,False,False,True,False
134,366776,v,False,False,False,True
135,750705,d2,False,True,False,False
136,614585,h,False,False,True,False
137,214257,d2,False,True,False,False
138,367396,v,False,False,False,True
139,334801,h,False,False,True,False
140,114559,v,False,False,False,True
141,421420,h,False,False,True,False
142,988909,d2,False,True,False,False
143,84726,d2,False,True,False,False
144,4219,d2,False,True,False,False
145,287136,v,False,False,False,True
146,666627,d2,False,True,False,False
147,291493,d,True,False,False,False
148,989464,d,True,False,False,False
149,466175,h,False,False,True,False
150,636009,d2,False,True,False,False
151,508663,h,False,False,True,False
152,781029,h,False,False,True,False
153,834773,h,False,False,True,False
154,994220,h,False,False,True,False
155,621155,d,True,False,False,False
156,731804,d2,False,True,False,False
157,872946,d,True,False,False,False
158,830433,d2,False,True,False,False
159,470309,d,True,False,False,False
160,861797,d2,False,True,False,False
161,748778,v,False,False,False,True
162,935108,h,False,False,True,False
163,606135,d2,False,True,False,False
164,561571,d,True,False,False,False
165,650921,h,False,False,True,False
166,963000,d2,False,True,False,False
167,746404,v,False,False,False,True
168,2187,v,False,False,False,True
169,254208,d,True,False,False,False
170,312549,d,True,False,False,False
171,670951,d,True,False,False,False
172,348830,v,False,False,False,True
173,801094,d,True,False,False,False
174,643339,d2,False,True,False,False
175,295082,v,False,False,False,True
176,40543,d,True,False,False,False
177,363264,h,False,False,True,False
178,678278,d,True,False,False,False
179,193697,v,False,False,False,True
180,536606,d,True,False,False,False
181,248216,v,False,False,False,True
182,48115,h,False,False,True,False
183,251139,h,False,False,True,False
184,37095,h,False,False,True,False
185,360994,d2,False,True,False,False
186,817698,d2,False,True,False,False
187,454780,v,False,False,False,True
188,85591,v,False,False,False,True
189,136659,v,False,False,False,True
190,12754,v,False,False,False,True
191,96790,h,False,False,True,False
192,559549,h,False,False,True,False
193,840360,v,False,False,False,True
194,232416,d2,False,True,False,False
195,789533,d2,False,True,False,False
196,876979,h,False,False,True,False
197,966280,d2,False,True,False,False
198,845489,d,True,False,False,False
199,185517,v,False,False,False,True
200,202227,d,True,False,False,False
201,456921,d,True,False,False,False
202,561,h,False,False,True,False
203,837057,d2,False,True,False,False
204,633621,d,True,False,False,False
205,948283,h,False,False,True,False
206,292766,d,True,False,False,False
207,557609,d,True,False,False,False
208,917925,d,True,False,False,False
209,490004,h,False,False,True,False
210,899140,v,False,False,False,True
211,198020,h,False,False,True,False
212,621803,d,True,False,False,False
213,537293,h,False,False,True,False
214,129390,d,True,False,False,False
215,492779,h,False,False,True,False
216,782903,d,True,False,False,False
217,607777,v,False,False,False,True
218,556376,v,False,False,False,True
219,658522,v,False,False,False,True
220,66842,d,True,False,False,False
221,997796,v,False,False,False,True
222,389949,d2,False,True,False,False
223,276570,h,False,False,True,False
224,849175,d,True,False,False,False
225,981605,d,True,False,False,False
226,611620,h,False,False,True,False
227,792739,d2,False,True,False,False
228,174631,v,False,False,False,True
229,851664,h,False,False,True,False
230,833525,d2,False,True,False,False
231,482627,h,False,False,True,False
232,708012,v,False,False,False,True
233,959873,v,False,False,False,True
234,895907,d2,False,True,False,False
235,244025,v,False,False,False,True
236,51243,v,False,False,False,True
237,352103,v,False,False,False,True
238,774081,h,False,False,True,False
239,951419,h,False,False,True,False
240,191136,h,False,False,True,False
241,938762,v,False,False,False,True
242,778588,h,False,False,True,False
243,195167,h,False,False,True,False
244,4818,h,False,False,True,False
245,778398,v,False,False,False,True
246,513753,d,True,False,False,False
247,696102,d2,False,True,False,False
248,164135,v,False,False,False,True
249,689831,h,False,False,True,False
250,334282,h,False,False,True,False
251,346525,d2,False,True,False,False
252,34178,d,True,False,False,False
253,126994,d,True,False,False,False
254,602251,v,False,False,False,True
255,662187,h,False,False,True,False
256,773019,d,True,False,False,False
257,548817,h,False,False,True,False
258,887731,v,False,False,False,True
259,302776,v,False,False,False,True
260,75054,d2,False,True,False,False
261,963053,v,False,False,False,True
262,820836,d2,False,True,False,False
263,755476,d,True,False,False,False
264,191112,v,False,False,False,True
265,202449,d2,False,True,False,False
266,749992,v,False,False,False,True
267,51388,d,True,False,False,False
268,723502,h,False,False,True,False
269,898092,d,True,False,False,False
270,962333,d,True,False,False,False
271,37024,d2,False,True,False,False
272,205895,d2,False,True,False,False
273,432073,h,False,False,True,False
274,48737,v,False,False,False,True
275,932860,d2,False,True,False,False
276,824619,v,False,False,False,True
277,32313,d2,False,True,False,False
278,885268,h,False,False,True,False
279,620217,v,False,False,False,True
280,626822,d2,False,True,False,False
281,526013,d,True,False,False,False
282,983985,d2,False,True,False,False
283,321650,h,False,False,True,False
284,314622,d,True,False,False,False
285,870977,v,False,False,False,True
286,351041,v,False,False,False,True
287,175278,h,False,False,True,False
288,130457,d,True,False,False,False
289,976149,d2,False,True,False,False
290,162252,h,False,False,True,False
291,182158,d,True,False,False,False
292,564982,h,False,False,True,False
293,11955,v,False,False,False,True
294,343940,d2,False,True,False,False
295,1324,d2,False,True,False,False
296,810673,d2,False,True,False,False
297,47730,h,False,False,True,False
298,11370,h,False,False,True,False
299,796100,v,False,False,False,True
300,725086,d,True,False,False,False
301,958638,d2,False,True,False,False
302,823125,d,True,False,False,False
303,674358,d,True,False,False,False
304,159228,d,True,False,False,False
305,219813,d,True,False,False,False
306,153306,v,False,False,False,True
307,230015,d,True,False,False,False
308,302534,v,False,False,False,True
309,139693,d,True,False,False,False
310,499382,d2,False,True,False,False
311,603531,d2,False,True,False,False
312,324299,h,False,False,True,False
313,82918,h,False,False,True,False
314,745302,v,False,False,False,True
315,82150,h,False,False,True,False
316,770425,d,True,False,False,False
317,482984,h,False,False,True,False
318,492074,h,False,False,True,False
319,899883,h,False,False,True,False
320,957522,d2,False,True,False,False
321,919068,v,False,False,False,True
322,704537,h,False,False,True,False
323,373090,d2,False,True,False,False
324,509411,h,False,False,True,False
325,421217,d,True,False,False,False
326,821248,h,False,False,True,False
327,654819,h,False,False,True,False
328,793221,h,False,False,True,False
329,762487,d,True,False,False,False
330,942199,h,False,False,True,False
331,121680,d,True,False,False,False
332,756624,h,False,False,True,False
333,750173,d2,False,True,False,False
334,447201,d,True,False,False,False
335,24053,v,False,False,False,True
336,444544,d2,False,True,False,False
337,560877,d,True,False,False,False
338,200244,v,False,False,False,True
339,937877,d2,False,True,False,False
340,516655,d,True,False,False,False
341,882148,h,False,False,True,False
342,749405,d2,False,True,False,False
343,828504,v,False,False,False,True
344,688054,v,False,False,False,True
345,532406,h,False,False,True,False
346,487601,v,False,False,False,True
347,736309,v,False,False,False,True
348,715144,v,False,False,False,True
349,891268,d2,False,True,False,False
350,288384,d2,False,True,False,False
351,777640,v,False,False,False,True
352,99697,d,True,False,False,False
353,532487,d2,False,True,False,False
354,314778,d2,False,True,False,False
355,80636,v,False,False,False,True
356,716068,d2,False,True,False,False
357,312518,v,False,False,False,True
358,102230,h,False,False,True,False
359,831841,v,False,False,False,True
360,64554,d,True,False,False,False
361,594193,h,False,False,True,False
362,314782,d2,False,True,False,False
363,21709,v,False,False,False,True
364,407980,h,False,False,True,False
365,875229,v,False,False,False,True
366,570359,d,True,False,False,False
367,217670,d2,False,True,False,False
368,342478,d2,False,True,False,False
369,990826,h,False,False,True,False
370,107255,v,False,False,False,True
371,622778,d2,False,True,False,False
372,19518,h,False,False,True,False
373,997050,d,True,False,False,False
374,151759,d2,False,True,False,False
375,210587,d2,False,True,False,False
376,438814,d,True,False,False,False
377,506028,h,False,False,True,False
378,240964,d2,False,True,False,False
379,209223,d,True,False,False,False
380,509338,h,False,False,True,False
381,981461,h,False,False,True,False
382,169080,h,False,False,True,False
383,701137,v,False,False,False,True
384,901941,v,False,False,False,True
385,737878,d,True,False,False,False
386,59341,d,True,False,False,False
387,983861,h,False,False,True,False
388,230972,d,True,False,False,False
389,187703,h,False,False,True,False
390,308974,v,False,False,False,True
391,100123,d2,False,True,False,False
392,32400,v,False,False,False,True
393,149229,d2,False,True,False,False
394,585204,d,True,False,False,False
395,179301,d,True,False,False,False
396,511252,h,False,False,True,False
397,877952,d2,False,True,False,False
398,304622,v,False,False,False,True
399,944216,d,True,False,False,False
400,945113,v,False,False,False,True
401,819313,v,False,False,False,True
402,783071,d2,False,True,False,False
403,798247,d,True,False,False,False
404,155161,v,False,False,False,True
405,980372,h,False,False,True,False
406,167270,d2,False,True,False,False
407,413766,d2,False,True,False,False
408,133495,h,False,False,True,False
409,218090,d,True,False,False,False
410,796482,d,True,False,False,False
411,612726,h,False,False,True,False
412,765313,v,False,False,False,True
413,665437,v,False,False,False,True
414,550198,d2,False,True,False,False
415,199966,h,False,False,True,False
416,76263,h,False,False,True,False
417,613496,d2,False,True,False,False
418,826671,v,False,False,False,True
419,690956,v,False,False,False,True
420,729631,h,False,False,True,False
421,447744,d2,False,True,False,False
422,529011,d,True,False,False,False
423,46847,d2,False,True,False,False
424,16979,d2,False,True,False,False
425,624065,d,True,False,False,False
426,964977,d2,False,True,False,False
427,361537,v,False,False,False,True
428,84705,d2,False,True,False,False
429,224580,d,True,False,False,False
430,480630,h,False,False,True,False
431,185574,d,True,False,False,False
432,739453,d,True,False,False,False
433,114010,v,False,False,False,True
434,897576,d,True,False,False,False
435,270991,v,False,False,False,True
436,363293,d,True,False,False,False
437,93941,d2,False,True,False,False
438,881690,h,False,False,True,False
439,334339,h,False,False,True,False
440,208077,v,False,False,False,True
441,61573,h,False,False,True,False
442,243227,d,True,False,False,False
443,217473,d,True,False,False,False
444,952994,h,False,False,True,False
445,448458,h,False,False,True,False
446,703531,d,True,False,False,False
447,65511,h,False,False,True,False
448,912940,v,False,False,False,True
449,981675,d,True,False,False,False
450,945124,d2,False,True,False,False
451,416443,v,False,False,False,True
452,857802,v,False,False,False,True
453,890058,d2,False,True,False,False
454,154385,h,False,False,True,False
455,144848,v,False,False,False,True
456,759893,d,True,False,False,False
457,946385,d,True,False,False,False
458,308302,v,False,False,False,True
459,496265,d,True,False,False,False
460,917938,h,False,False,True,False
461,625563,h,False,False,True,False
462,633146,d,True,False,False,False
463,277958,d2,False,True,False,False
464,378982,h,False,False,True,False
465,553991,h,False,False,True,False
466,960304,v,False,False,False,True
467,794713,h,False,False,True,False
468,597667,v,False,False,False,True
469,816107,d,True,False,False,False
470,972346,h,False,False,True,False
471,725606,v,False,False,False,True
472,775416,v,False,False,False,True
473,847495,h,False,False,True,False
474,421905,v,False,False,False,True
475,437967,d2,False,True,False,False
476,120894,d2,False,True,False,False
477,371573,d2,False,True,False,False
478,234232,h,False,False,True,False
479,385982,h,False,False,True,False
480,120555,v,False,False,False,True
481,990654,d2,False,True,False,False
482,818537,v,False,False,False,True
483,973365,d2,False,True,False,False
484,428809,v,False,False,False,True
485,956779,h,False,False,True,False
486,856710,v,False,False,False,True
