Date and time,Cooling,Heating,Total
01/02/2010 00,0,0,0
01/02/2010 01,0,0,0
01/02/2010 02,0,0,0
01/02/2010 03,0,0,0
01/02/2010 04,0,0,0
01/02/2010 05,1.39,0,1.39
01/02/2010 06,5.88,10.6,16.48
01/02/2010 07,4.25,22.26,26.51
01/02/2010 08,4.23,21.8,26.03
01/02/2010 09,4.73,19.92,24.65
01/02/2010 10,4.21,18.41,22.62
01/02/2010 11,5.98,17.42,23.4
01/02/2010 12,4.97,14.95,19.92
01/02/2010 13,4.97,16.41,21.38
01/02/2010 14,5.78,14.47,20.25
01/02/2010 15,5.15,13.94,19.09
01/02/2010 16,4.8,10.49,15.29
01/02/2010 17,3.98,8.51,12.49
01/02/2010 18,3.98,8.52,12.5
01/02/2010 19,3.98,8.97,12.95
01/02/2010 20,4.85,9.79,14.64
01/02/2010 21,2.99,11.33,14.32
01/02/2010 22,6.1,0,6.1
01/02/2010 23,0,0,0
02/02/2010 00,0,0,0
02/02/2010 01,0,0,0
02/02/2010 02,0,0,0
02/02/2010 03,0,0,0
02/02/2010 04,0,0,0
02/02/2010 05,0.17,0,0.17
02/02/2010 06,7.87,8.74,16.61
02/02/2010 07,3.99,20.38,24.37
02/02/2010 08,5.96,17.85,23.81
02/02/2010 09,3.98,17.05,21.03
02/02/2010 10,5.87,16.95,22.82
02/02/2010 11,3.92,14.22,18.14
02/02/2010 12,5.79,15.49,21.28
02/02/2010 13,4.13,10.39,14.52
02/02/2010 14,4.81,10.55,15.36
02/02/2010 15,5.96,8.76,14.72
02/02/2010 16,5.17,9.56,14.73
02/02/2010 17,4.78,9.58,14.36
02/02/2010 18,4.18,7.33,11.51
02/02/2010 19,3.98,7.95,11.93
02/02/2010 20,3.98,9.01,12.99
02/02/2010 21,3.98,12.24,16.22
02/02/2010 22,0.49,5.96,6.45
02/02/2010 23,0,0,0
03/02/2010 00,0,0,0
03/02/2010 01,0,0,0
03/02/2010 02,0,0,0
03/02/2010 03,0,0,0
03/02/2010 04,0,2.46,2.46
03/02/2010 05,5,9.61,14.61
03/02/2010 06,3.98,11.52,15.5
03/02/2010 07,4.98,18.91,23.89
03/02/2010 08,4.33,19.43,23.76
03/02/2010 09,4.35,19.39,23.74
03/02/2010 10,5.23,19.46,24.69
03/02/2010 11,5.35,16.93,22.28
03/02/2010 12,5.58,16.32,21.9
03/02/2010 13,4.38,17.54,21.92
03/02/2010 14,3.98,13.92,17.9
03/02/2010 15,4.55,11.39,15.94
03/02/2010 16,4.97,8.11,13.08
03/02/2010 17,4.42,9.64,14.06
03/02/2010 18,4.52,9.25,13.77
03/02/2010 19,4.96,8.8,13.76
03/02/2010 20,3.98,9.08,13.06
03/02/2010 21,4.46,12.06,16.52
03/02/2010 22,2.48,8.38,10.86
03/02/2010 23,1.98,3.08,5.06
04/02/2010 00,2.47,3.88,6.35
04/02/2010 01,2.51,3.98,6.49
04/02/2010 02,1.99,3.05,5.04
04/02/2010 03,2.43,3.85,6.28
04/02/2010 04,1.98,3.99,5.97
04/02/2010 05,2.55,3.99,6.54
04/02/2010 06,4.41,10.17,14.58
04/02/2010 07,4.39,15.03,19.42
04/02/2010 08,5.57,17.94,23.51
04/02/2010 09,4.37,18.89,23.26
04/02/2010 10,4.84,16.92,21.76
04/02/2010 11,0,4,4
04/02/2010 12,0,0,0
04/02/2010 13,0,0,0
04/02/2010 14,0,0,0
04/02/2010 15,0,0,0
04/02/2010 16,0,0,0
04/02/2010 17,0,0,0
04/02/2010 18,10.703,0,10.703
04/02/2010 19,4.577,0,4.577
04/02/2010 20,2.99,0,2.99
