timestamp,temperature_2m,relative_humidity_2m,precipitation,rain,showers,snowfall,snow_depth,dew_point_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,cloud_cover,surface_pressure
2010-02-01 00:00:00,-1.2,88,0.0,0.0,0.0,0.0,0.0,-2.9,17.4,277,28.4,13,999.8
2010-02-01 01:00:00,-1.1,87,0.0,0.0,0.0,0.0,0.0,-3.0,18.6,285,29.9,28,1000.1
2010-02-01 02:00:00,-0.9,86,0.0,0.0,0.0,0.0,0.0,-2.9,18.5,291,30.6,15,1000.5
2010-02-01 03:00:00,-0.7,85,0.0,0.0,0.0,0.0,0.0,-3.0,17.6,296,30.2,12,1000.9
2010-02-01 04:00:00,-0.6,85,0.0,0.0,0.0,0.0,0.0,-2.8,16.3,301,30.2,6,1001.4
2010-02-01 05:00:00,-0.8,87,0.0,0.0,0.0,0.0,0.0,-2.8,15.7,302,29.5,5,1001.9
2010-02-01 06:00:00,-1.2,87,0.0,0.0,0.0,0.0,0.0,-3.1,14.9,302,27.0,2,1002.7
2010-02-01 07:00:00,-1.4,85,0.0,0.0,0.0,0.0,0.0,-3.6,14.3,298,25.9,0,1003.3
2010-02-01 08:00:00,-1.7,84,0.0,0.0,0.0,0.0,0.0,-4.1,13.5,295,25.2,1,1004.2
2010-02-01 09:00:00,-1.0,81,0.0,0.0,0.0,0.0,0.0,-3.8,14.4,292,24.8,0,1005.0
2010-02-01 10:00:00,0.7,77,0.0,0.0,0.0,0.0,0.0,-2.9,14.5,297,26.3,1,1005.4
2010-02-01 11:00:00,2.1,71,0.0,0.0,0.0,0.0,0.0,-2.6,15.1,295,28.8,85,1006.1
2010-02-01 12:00:00,3.2,69,0.0,0.0,0.0,0.0,0.0,-1.9,15.7,290,29.9,100,1006.4
2010-02-01 13:00:00,3.6,69,0.0,0.0,0.0,0.0,0.0,-1.7,16.4,285,30.6,100,1006.5
2010-02-01 14:00:00,3.9,68,0.0,0.0,0.0,0.0,0.0,-1.5,17.9,285,33.1,100,1006.5
2010-02-01 15:00:00,4.0,70,0.0,0.0,0.0,0.0,0.0,-1.0,17.4,283,33.1,97,1006.9
2010-02-01 16:00:00,3.4,75,0.0,0.0,0.0,0.0,0.0,-0.5,14.0,270,29.9,96,1007.1
2010-02-01 17:00:00,2.2,82,0.0,0.0,0.0,0.0,0.0,-0.5,12.8,259,24.1,9,1007.2
2010-02-01 18:00:00,1.3,88,0.0,0.0,0.0,0.0,0.0,-0.5,13.4,250,20.5,3,1007.2
2010-02-01 19:00:00,0.7,90,0.0,0.0,0.0,0.0,0.0,-0.7,14.7,245,25.2,4,1007.1
2010-02-01 20:00:00,0.5,91,0.0,0.0,0.0,0.0,0.0,-0.8,15.8,240,27.0,51,1006.7
2010-02-01 21:00:00,0.4,92,0.0,0.0,0.0,0.0,0.0,-0.8,17.1,235,29.5,81,1006.2
2010-02-01 22:00:00,0.3,93,0.0,0.0,0.0,0.0,0.0,-0.7,20.6,234,33.1,97,1005.4
